instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
Eastland-Fairfield Career and Technical Schools,OH,3,3,2,,,221,,,,,,,
Eastwick College-Hackensack,NJ,2,2,1,,,375,,,,82,58,33,93
Eastwick College-Ramsey,NJ,2,2,1,,,865,,,,37,66,57,30
Ecclesia College,AR,5,1,1,28370,28370,164,0,0,20,31,72,34,25
Eckerd College,FL,5,1,1,53508,53508,2083,0,0,530,71,19,66,74
eClips School of Cosmetology and Barbering,MO,4,3,2,,,83,,,,,,,
Ecotech Institute,CO,7,2,1,,,375,,,,,,,
ECPI University,VA,5,1,1,,,10932,0,15,1188,81,52,88,78
Ecumenical Theological Seminary,MI,3,1,1,,,103,10,20,0,,,,
Eden Theological Seminary,MO,4,1,1,,,150,0,32,0,,,,
Edgecombe Community College,NC,5,2,1,,,2552,,,,,,,
Edgewood College,WI,3,1,1,38259,38259,2980,35,131,424,77,30,71,80
Edinboro University of Pennsylvania,PA,2,1,1,25011,21018,6837,0,428,1061,87,43,88,87
Edison State College,FL,5,1,1,27217,17519,15389,0,0,328,,,,
Edison State Community College,OH,3,2,1,,,3042,,,,,,,
EDMC Central Administrative Office,PA,2,1,1,,,,,,,,,,
Edmonds Community College,WA,8,2,1,22177,16942,8993,,,,,,,
EDP School of Computer Programming,NY,2,3,2,,,105,,,,,,,
Education and Technology Institute,PA,2,3,2,,,,,,,,,,
Educators of Beauty College of Cosmetology-La Salle,IL,3,3,2,,,39,,,,,,,
Educators of Beauty College of Cosmetology-Rockford,IL,3,3,2,,,63,,,,,,,
Educators of Beauty College of Cosmetology-Sterling,IL,3,3,2,,,43,,,,,,,
Edward Via College of Osteopathic Medicine,VA,5,1,1,,,1444,190,0,0,,,,
Edward Waters College,FL,5,1,1,25085,25085,929,0,0,106,27,40,30,25
EHOVE Career Center,OH,3,2,2,,,326,,,,,,,
EINE Inc,MA,1,3,2,,,43,,,,,,,
El Camino College-Compton Center,CA,8,2,1,,,7611,,,,,,,
El Camino Community College District,CA,8,2,1,,,24207,,,,,,,
El Centro College,TX,6,2,1,,,10549,,,,,,,
El Paso Community College,TX,6,2,1,,,28308,,,,,,,
Elaine Sterling Institute,GA,5,3,2,,,167,,,,,,,
Elaine Steven Beauty College,MO,4,3,2,,,180,,,,,,,
Electrical Training Center,NY,2,3,2,,,141,,,,,,,
Elegance International,CA,8,3,2,,,374,,,,,,,
Elgin Community College,IL,3,2,1,,,10929,,,,,,,
Eli Whitney Technical High School,CT,1,3,2,,,42,,,,,,,
Elite Academy of Beauty Arts,NY,2,3,2,,,,,,,,,,
Elite College of Cosmetology,TN,5,3,2,,,72,,,,,,,
Elite Cosmetology School,CA,8,3,2,,,91,,,,,,,
Elite School of Cosmetology,OH,3,2,2,,,40,,,,,,,
Elite Welding Academy,OH,3,3,2,,,55,,,,,,,
Elizabeth City State University,NC,5,1,1,25034,13359,1867,0,55,488,57,23,53,60
Elizabeth Grady School of Esthetics and Massage Therapy,MA,1,3,2,,,183,,,,,,,
Elizabethtown College,PA,2,1,1,51890,51890,1822,0,25,417,70,20,69,70
Elizabethtown College School of Continuing and Professional Studies,PA,2,1,1,,,422,0,17,128,,,,
Elizabethtown Community and Technical College,KY,5,2,1,,,7314,,,,,,,
Ellsworth Community College,IA,4,2,1,17264,16496,949,,,,,,,
Elmhurst College,IL,3,1,1,47280,47280,3257,0,125,753,72,26,71,72
Elmira Business Institute,NY,2,2,1,,,400,,,,,,,
Elmira College,NY,2,1,1,51100,51100,1482,0,69,308,80,17,77,81
Elon University,NC,5,1,1,45414,45414,6483,146,130,1189,54,27,64,49
Embry-Riddle Aeronautical University-Daytona Beach,FL,5,1,1,47582,47582,5538,3,241,817,74,31,73,77
Embry-Riddle Aeronautical University-Prescott,AZ,6,1,1,47148,47148,2035,0,14,315,79,34,78,82
Embry-Riddle Aeronautical University-Worldwide,FL,5,1,1,,,14176,5,1396,1755,99,43,100,99
Emerson College,MA,1,1,1,55846,55846,4545,0,355,914,48,22,45,49
Emil Fries Piano Hospital and Training Center,WA,8,2,2,,,5,,,,,,,
Emily Griffith Technical College,CO,7,3,2,,,3612,,,,,,,
Emmanuel Christian Seminary,TN,5,1,1,,,111,1,21,0,,,,
Emmanuel College,MA,1,1,1,52499,52499,2311,0,100,468,60,13,55,63
Emmanuel College,GA,5,1,1,28070,28070,816,0,0,111,48,37,49,47
Emmaus Bible College,IA,4,1,1,24900,24900,216,0,0,31,,,,
Emory & Henry College,VA,5,1,1,44784,44784,1038,0,28,164,66,24,59,80
Emory University,GA,5,1,1,61344,61344,14769,736,1300,1909,26,30,26,27
Emperor's College of Traditional Oriental Medicine,CA,8,1,1,,,222,9,38,0,,,,
Empire Beauty  School-Lehigh Valley,PA,2,3,2,,,122,,,,,,,
Empire Beauty School-Appleton,WI,3,2,2,,,10,,,,,,,
Empire Beauty School-Arlington Heights,IL,3,3,2,,,138,,,,,,,
Empire Beauty School-Arvada,CO,7,2,2,,,37,,,,,,,
Empire Beauty School-Augusta,GA,5,3,2,,,78,,,,,,,
Empire Beauty School-Aurora,CO,7,2,2,,,138,,,,,,,
Empire Beauty School-Avondale,AZ,6,3,2,,,193,,,,,,,
Empire Beauty School-Bloomfield,NJ,2,3,2,,,156,,,,,,,
Empire Beauty School-Bloomington,MN,4,3,2,,,104,,,,,,,
Empire Beauty School-Bordentown,NJ,2,3,2,,,94,,,,,,,
Empire Beauty School-Boston,MA,1,3,2,,,224,,,,,,,
Empire Beauty School-Brooklyn,NY,2,3,2,,,125,,,,,,,
Empire Beauty School-Buffalo,NY,2,3,2,,,53,,,,,,,
Empire Beauty School-Center City Philadelphia,PA,2,3,2,,,349,,,,,,,
Empire Beauty School-Chandler,AZ,6,3,2,,,97,,,,,,,
Empire Beauty School-Cheltenham,PA,2,3,2,,,113,,,,,,,
Empire Beauty School-Chenoweth,KY,5,2,2,,,98,,,,,,,
Empire Beauty School-Cherry Hill,NJ,2,3,2,,,111,,,,,,,
Empire Beauty School-Cincinnati,OH,3,3,2,,,152,,,,,,,
Empire Beauty School-Concord,NC,5,3,2,,,103,,,,,,,
Empire Beauty School-Dixie,KY,5,2,2,,,68,,,,,,,
Empire Beauty School-Dunwoody,GA,5,3,2,,,157,,,,,,,
Empire Beauty School-E Memphis,TN,5,3,2,,,155,,,,,,,
Empire Beauty School-Eden Prairie,MN,4,3,2,,,47,,,,,,,
Empire Beauty School-Elizabethtown,KY,5,2,2,,,162,,,,,,,
Empire Beauty School-Exton,PA,2,3,2,,,67,,,,,,,
Empire Beauty School-Flagstaff,AZ,6,3,2,,,60,,,,,,,
Empire Beauty School-Florence,KY,5,2,2,,,137,,,,,,,
Empire Beauty School-Framingham,MA,1,3,2,,,79,,,,,,,
Empire Beauty School-Glen Burnie,MD,2,3,2,,,167,,,,,,,
Empire Beauty School-Green Bay,WI,3,2,2,,,76,,,,,,,
Empire Beauty School-Gwinnett,GA,5,3,2,,,147,,,,,,,
Empire Beauty School-Hanover,PA,2,3,2,,,86,,,,,,,
Empire Beauty School-Hanover Park,IL,3,3,2,,,76,,,,,,,
Empire Beauty School-Harrisburg,PA,2,3,2,,,133,,,,,,,
Empire Beauty School-Highland,KY,5,2,2,,,48,,,,,,,
Empire Beauty School-Hooksett,NH,1,3,2,,,122,,,,,,,
Empire Beauty School-Hurstborne,KY,5,2,2,,,118,,,,,,,
Empire Beauty School-Hyannis,MA,1,3,2,,,72,,,,,,,
Empire Beauty School-Indianapolis,IN,3,3,2,,,202,,,,,,,
Empire Beauty School-Jackson,TN,5,3,2,,,78,,,,,,,
Empire Beauty School-Jersey City,NJ,2,3,2,,,58,,,,,,,
Empire Beauty School-Kennesaw,GA,5,3,2,,,171,,,,,,,
Empire Beauty School-Laconia,NH,1,3,2,,,83,,,,,,,
Empire Beauty School-Lakewood,CO,7,2,2,,,83,,,,,,,
Empire Beauty School-Lancaster,PA,2,3,2,,,83,,,,,,,
Empire Beauty School-Lauderhill,FL,5,3,2,,,99,,,,,,,
Empire Beauty School-Laurel Springs,NJ,2,3,2,,,94,,,,,,,
Empire Beauty School-Lebanon,PA,2,3,2,,,44,,,,,,,
Empire Beauty School-Lisle,IL,3,3,2,,,57,,,,,,,
Empire Beauty School-Littleton,CO,7,2,2,,,76,,,,,,,
Empire Beauty School-Lowell,MA,1,3,2,,,98,,,,,,,
Empire Beauty School-Madison,WI,3,2,2,,,25,,,,,,,
Empire Beauty School-Maine,ME,1,3,2,,,291,,,,,,,
Empire Beauty School-Malden,MA,1,3,2,,,134,,,,,,,
Empire Beauty School-Manhattan,NY,2,3,2,,,585,,,,,,,
Empire Beauty School-Manitowoc,WI,3,2,2,,,58,,,,,,,
Empire Beauty School-Matthews,NC,5,3,2,,,77,,,,,,,
Empire Beauty School-Michigan,MI,3,3,2,,,298,,,,,,,
Empire Beauty School-Midlothian,VA,5,3,2,,,132,,,,,,,
Empire Beauty School-Milwaukee,WI,3,2,2,,,93,,,,,,,
Empire Beauty School-Monroeville,PA,2,3,2,,,146,,,,,,,
Empire Beauty School-Morrow,GA,5,3,2,,,252,,,,,,,
Empire Beauty School-Nashville,TN,5,3,2,,,58,,,,,,,
Empire Beauty School-NE Philadelphia,PA,2,3,2,,,168,,,,,,,
Empire Beauty School-North Hills,PA,2,3,2,,,145,,,,,,,
Empire Beauty School-North Tucson,AZ,6,3,2,,,,,,,,,,
Empire Beauty School-NW Phoenix,AZ,6,3,2,,,126,,,,,,,
Empire Beauty School-Ocean,NJ,2,3,2,,,89,,,,,,,
Empire Beauty School-Owings Mills,MD,2,3,2,,,110,,,,,,,
Empire Beauty School-Paradise Valley,AZ,6,3,2,,,25,,,,,,,
Empire Beauty School-Paramus,NJ,2,3,2,,,108,,,,,,,
Empire Beauty School-Peekskill,NY,2,3,2,,,31,,,,,,,
Empire Beauty School-Pineville,NC,5,3,2,,,109,,,,,,,
Empire Beauty School-Portsmouth,NH,1,3,2,,,140,,,,,,,
Empire Beauty School-Pottsville,PA,2,3,2,,,50,,,,,,,
Empire Beauty School-Prescott,AZ,6,3,2,,,72,,,,,,,
Empire Beauty School-Providence,RI,1,3,2,,,113,,,,,,,
Empire Beauty School-Queens,NY,2,3,2,,,131,,,,,,,
Empire Beauty School-Reading,PA,2,3,2,,,111,,,,,,,
Empire Beauty School-Richmond,VA,5,3,2,,,108,,,,,,,
Empire Beauty School-Rochester,NY,2,3,2,,,127,,,,,,,
Empire Beauty School-Savannah,GA,5,3,2,,,151,,,,,,,
Empire Beauty School-Shamokin Dam,PA,2,3,2,,,45,,,,,,,
Empire Beauty School-Somersworth,NH,1,3,2,,,101,,,,,,,
Empire Beauty School-Speedway,IN,3,3,2,,,155,,,,,,,
Empire Beauty School-Spring Lake Park,MN,4,3,2,,,109,,,,,,,
Empire Beauty School-Springfield,PA,2,3,2,,,193,,,,,,,
Empire Beauty School-St Paul,MN,4,3,2,,,61,,,,,,,
Empire Beauty School-State College,PA,2,3,2,,,30,,,,,,,
Empire Beauty School-Stone Park,IL,3,3,2,,,178,,,,,,,
Empire Beauty School-Thornton,CO,7,2,2,,,132,,,,,,,
Empire Beauty School-Tucson,AZ,6,3,2,,,126,,,,,,,
Empire Beauty School-Union,NJ,2,3,2,,,117,,,,,,,
Empire Beauty School-Vernon Hills,IL,3,3,2,,,60,,,,,,,
Empire Beauty School-Virginia Beach,VA,5,3,2,,,167,,,,,,,
Empire Beauty School-Warminster,PA,2,3,2,,,64,,,,,,,
Empire Beauty School-Warwick,RI,1,3,2,,,63,,,,,,,
Empire Beauty School-West Greensboro,NC,5,3,2,,,143,,,,,,,
Empire Beauty School-West Mifflin,PA,2,3,2,,,112,,,,,,,
Empire Beauty School-West Palm,FL,5,3,2,,,76,,,,,,,
Empire Beauty School-Williamsport,PA,2,3,2,,,33,,,,,,,
Empire Beauty School-Wyoming Valley,PA,2,3,2,,,150,,,,,,,
Empire Beauty School-York,PA,2,3,2,,,135,,,,,,,
Empire College School of Business,CA,8,2,1,,,417,,,,,,,
Employment Solutions-College for Technical Education,KY,5,2,2,,,203,,,,,,,
Emporia State University,KS,4,1,1,29686,17536,6114,4,631,737,61,47,60,61
EMS Training Institute,CA,8,3,2,,,,,,,,,,
Endicott College,MA,1,1,1,46398,46398,4429,0,399,632,72,24,72,71
Enid Beauty College,OK,6,3,2,,,38,,,,,,,
Enterprise State Community College,AL,5,2,1,,,2011,,,,,,,
Entourage Institute of Beauty and Esthetics,KS,4,3,2,,,111,,,,,,,
Epic Bible College,CA,8,1,1,,,231,0,0,23,79,76,74,83
Episcopal Divinity School,MA,1,1,1,,,62,2,15,0,,,,
Episcopal Theological Seminary of the Southwest,TX,6,1,1,,,98,0,31,0,,,,
Eric Fisher Academy,KS,4,3,2,,,145,,,,,,,
Erie 1 BOCES,NY,2,3,2,,,369,,,,,,,
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NY,2,3,2,,,134,,,,,,,
Erie Business Center-Erie,PA,2,2,1,,,,,,,95,67,93,96
Erie Business Center-New Castle,PA,2,2,1,,,,,,,,,,
Erie Community College,NY,2,2,1,,,12733,,,,,,,
Erie Institute of Technology Inc,PA,2,2,1,,,232,,,,,,,
Erikson Institute,IL,3,1,1,,,256,0,91,0,,,,
Erskine College,SC,5,1,1,47610,47610,753,8,20,104,70,37,66,72
Essex County College,NJ,2,2,1,,,11468,,,,,,,
Estelle Skin Care and Spa Institute,IL,3,3,2,,,86,,,,,,,
Estes Institute of Cosmetology Arts and Science,CA,8,3,2,,,76,,,,,,,
Estrella Mountain Community College,AZ,6,2,1,,,9164,,,,,,,
Eternity Cosmetology School,FL,5,3,2,,,177,,,,,,,
ETI School of Skilled Trades,IL,3,3,2,,,294,,,,,,,
ETI Technical College,OH,3,2,1,,,152,,,,,,,
Euphoria Institute of Beauty Arts & Sciences-Green Valley,NV,8,2,2,,,137,,,,,,,
Euphoria Institute of Beauty Arts & Sciences-Las Vegas,NV,8,2,2,,,,,,,,,,
Euphoria Institute of Beauty Arts & Sciences-Summerlin,NV,8,2,2,,,297,,,,,,,
Eureka College,IL,3,1,1,30900,30900,664,0,0,168,68,21,62,73
Eureka Institute of Health and Beauty,FL,5,3,2,,,82,,,,,,,
European Academy of Cosmetology and Hairdressing,CT,1,3,2,,,12,,,,,,,
European Massage Therapy School-Las Vegas,NV,8,3,2,,,70,,,,,,,
European Massage Therapy School-Skokie,IL,3,3,2,,,64,,,,,,,
Evangel University,MO,4,1,1,32696,32696,2006,0,66,386,64,52,59,67
Evangelical Theological Seminary,PA,2,1,1,,,123,0,29,0,,,,
Evans Hairstyling College-Cedar City,UT,7,2,2,,,31,,,,,,,
Evans Hairstyling College-Rexburg,ID,7,2,2,,,61,,,,,,,
Evans Hairstyling College-St George,UT,7,2,2,,,35,,,,,,,
Everest College-Alhambra,CA,8,3,2,,,439,,,,,,,
Everest College-Anaheim,CA,8,2,1,,,443,,,,,,,
Everest College-Arlington,TX,6,2,1,,,505,,,,,,,
Everest College-Atlanta West,GA,5,3,2,,,628,,,,,,,
Everest College-Aurora,CO,7,2,1,,,328,,,,,,,
Everest College-Bedford Park,IL,3,3,2,,,393,,,,,,,
Everest College-Bremerton,WA,8,2,1,,,232,,,,,,,
Everest College-Burr Ridge,IL,3,3,2,,,251,,,,,,,
Everest College-Chesapeake,VA,5,2,1,,,671,,,,,,,
Everest College-City of Industry,CA,8,2,1,,,889,,,,,,,
Everest College-Colorado Springs,CO,7,2,1,,,330,,,,,,,
Everest College-Dallas,TX,6,2,1,,,712,,,,,,,
Everest College-Earth City,MO,4,3,2,,,185,,,,,,,
Everest College-Everett,WA,8,2,1,,,410,,,,,,,
Everest College-Fort Worth,TX,6,2,1,,,204,,,,,,,
Everest College-Fort Worth South,TX,6,2,1,,,516,,,,,,,
Everest College-Gardena,CA,8,3,2,,,424,,,,,,,
Everest College-Henderson,NV,8,2,1,,,800,,,,,,,
Everest College-Kansas City,MO,4,3,2,,,320,,,,,,,
Everest College-McLean,VA,5,2,1,,,149,,,,,,,
Everest College-Melrose Park,IL,3,3,2,,,389,,,,,,,
Everest College-Merrillville,IN,3,3,2,,,385,,,,,,,
Everest College-Merrionette Park,IL,3,3,2,,,337,,,,,,,
Everest College-Mesa,AZ,6,1,1,,,270,0,0,11,,,,
Everest College-Newport News,VA,5,2,1,,,433,,,,,,,
Everest College-North Aurora,IL,3,3,2,,,70,,,,,,,
Everest College-Ontario,CA,8,3,2,,,707,,,,,,,
Everest College-Ontario Metro,CA,8,1,1,,,720,0,0,60,,,,
Everest College-Phoenix,AZ,6,1,1,,,4102,0,0,52,,,,
Everest College-Portland,OR,8,2,1,,,161,,,,,,,
Everest College-Renton,WA,8,3,2,,,342,,,,,,,
Everest College-Reseda,CA,8,2,1,,,596,,,,,,,
Everest College-Salt Lake City,UT,7,1,1,,,217,0,0,16,,,,
Everest College-San Bernardino,CA,8,2,1,,,737,,,,,,,
Everest College-Santa Ana,CA,8,3,2,,,333,,,,,,,
Everest College-Seattle,WA,8,3,2,,,123,,,,,,,
Everest College-Skokie,IL,3,3,2,,,279,,,,,,,
Everest College-Springfield,MO,4,1,1,,,232,0,0,9,,,,
Everest College-Tacoma,WA,8,2,1,,,795,,,,,,,
Everest College-Thornton,CO,7,2,1,,,342,,,,,,,
Everest College-Torrance,CA,8,3,2,,,142,,,,,,,
Everest College-Vancouver,WA,8,2,1,,,247,,,,,,,
Everest College-West Los Angeles,CA,8,2,1,,,340,,,,,,,
Everest College-Woodbridge,VA,5,3,2,,,551,,,,,,,
Everest Institute-Austin,TX,6,3,2,,,719,,,,,,,
Everest Institute-Bensalem,PA,2,3,2,,,244,,,,,,,
Everest Institute-Bissonnet,TX,6,3,2,,,785,,,,,,,
Everest Institute-Brighton,MA,1,3,2,,,85,,,,,,,
Everest Institute-Chelsea,MA,1,3,2,,,194,,,,,,,
Everest Institute-Cross Lanes,WV,5,2,1,,,63,,,,,,,
Everest Institute-Dearborn,MI,3,3,2,,,608,,,,,,,
Everest Institute-Detroit,MI,3,3,2,,,448,,,,,,,
Everest Institute-Eagan,MN,4,3,2,,,105,,,,,,,
Everest Institute-Gahanna,OH,3,3,2,,,405,,,,,,,
Everest Institute-Grand Rapids,MI,3,3,2,,,305,,,,,,,
Everest Institute-Greenspoint,TX,6,3,2,,,623,,,,,,,
Everest Institute-Hobby,TX,6,3,2,,,586,,,,,,,
Everest Institute-Jonesboro,GA,5,3,2,,,404,,,,,,,
Everest Institute-Kalamazoo,MI,3,3,2,,,168,,,,,,,
Everest Institute-Kendall,FL,5,2,1,,,147,,,,,,,
Everest Institute-Marietta,GA,5,3,2,,,335,,,,,,,
Everest Institute-Norcross,GA,5,2,1,,,548,,,,,,,
Everest Institute-North Miami,FL,5,2,1,,,196,,,,,,,
Everest Institute-Pittsburgh,PA,2,2,1,,,526,,,,,,,
Everest Institute-Rochester,NY,2,2,1,,,545,,,,,,,
Everest Institute-San Antonio,TX,6,3,2,,,464,,,,,,,
Everest Institute-Silver Spring,MD,2,3,2,,,186,,,,,,,
Everest Institute-South Plainfield,NJ,2,3,2,,,615,,,,,,,
Everest Institute-Southfield,MI,3,3,2,,,875,,,,,,,
Everest Institute-Tigard,OR,8,3,2,,,333,,,,,,,
Everest University-Brandon,FL,5,1,1,,,2460,0,39,198,,,,
Everest University-Jacksonville,FL,5,1,1,,,570,0,16,29,,,,
Everest University-Lakeland,FL,5,1,1,,,367,0,0,15,,,,
Everest University-Largo,FL,5,1,1,,,439,0,6,20,,,,
Everest University-Melbourne,FL,5,1,1,,,392,0,6,27,,,,
Everest University-North Orlando,FL,5,1,1,,,634,0,10,47,,,,
Everest University-Orange Park,FL,5,1,1,,,558,0,0,23,,,,
Everest University-Pompano Beach,FL,5,1,1,,,1548,0,75,82,,,,
Everest University-South Orlando,FL,5,1,1,,,22535,0,28,405,,,,
Everest University-Tampa,FL,5,1,1,,,537,0,8,27,,,,
Everett Community College,WA,8,2,1,21447,16258,7516,,,,,,,
Everglades University,FL,5,1,1,,,1451,0,34,292,91,87,95,87
Evergreen Beauty and Barber College-Bellevue,WA,8,3,2,,,90,,,,,,,
Evergreen Beauty and Barber College-Everett,WA,8,3,2,,,106,,,,,,,
Evergreen Valley College,CA,8,2,1,,,9133,,,,,,,
Eves College of Hairstyling,OK,6,3,2,,,79,,,,,,,
EXCEL ACADEMIES OF COSMETOLOGY,MI,3,3,2,,,47,,,,,,,
Excel Academies of Cosmetology,MI,3,3,2,,,25,,,,,,,
Excel Academies of Cosmetology-Merrillville,IN,3,3,2,,,35,,,,,,,
Excel Academies of Cosmetology-Troy,MI,3,3,2,,,33,,,,,,,
Excel Learning Center,TX,6,3,2,,,171,,,,,,,
Excel Learning Center-San Antonio,TX,6,3,2,,,114,,,,,,,
Excelsior College,NY,2,1,1,,,41527,0,296,2626,,,,
Expertise Cosmetology Institute,NV,8,2,2,,,81,,,,,,,
Exposito School of Hair Design,TX,6,3,2,,,46,,,,,,,
Expression College for Digital Arts,CA,8,1,1,,,445,0,0,147,,,,
Fab School,CA,8,3,2,,,107,,,,,,,
Fairfield University,CT,1,1,1,59840,59840,5123,30,375,899,71,15,69,73
Fairleigh Dickinson University-College at Florham,NJ,2,1,1,55022,55022,3231,0,247,469,78,21,75,80
Fairleigh Dickinson University-Metropolitan Campus,NJ,2,1,1,52674,52674,8777,25,847,848,73,20,74,73
Fairmont State University,WV,5,1,1,24556,17556,4035,0,93,606,66,41,63,69
Fairview Beauty Academy,OH,3,2,2,,,52,,,,,,,
Faith Baptist Bible College and Theological Seminary,IA,4,1,1,27008,27008,292,0,9,46,67,72,63,69
Faith Evangelical College & Seminary,WA,8,1,1,,,320,2,39,47,,,,
Faith Theological Seminary,MD,2,1,1,,,142,1,3,3,,,,
Family of Faith College,OK,6,1,1,22305,22305,24,0,0,2,67,100,0,100
Faris Technical Institute Inc,TX,6,3,2,,,17,,,,,,,
Farmingdale State College,NY,2,1,1,32523,22873,8394,0,0,1226,53,42,58,47
Fashion Focus Hair Academy,FL,5,3,2,,,67,,,,,,,
Fashion Institute of Design & Merchandising-Los Angeles,CA,8,1,1,,,3142,0,0,210,57,65,51,58
Fashion Institute of Design & Merchandising-Orange County,CA,8,2,1,,,156,,,13,69,65,60,70
Fashion Institute of Design & Merchandising-San Diego,CA,8,2,1,,,142,,,,61,65,53,61
Fashion Institute of Design & Merchandising-San Francisco,CA,8,1,1,,,527,0,0,42,64,67,43,66
Fashion Institute of Technology,NY,2,1,1,31212,22212,9764,0,59,1443,45,62,44,45
Faulkner University,AL,5,1,1,31530,31530,3335,80,81,508,,,,
Faust Institute of Cosmetology-Spirit Lake,IA,4,2,2,,,14,,,,,,,
Faust Institute of Cosmetology-Storm Lake,IA,4,2,2,,,22,,,,,,,
Fayette Beauty Academy,GA,5,3,2,,,48,,,,,,,
Fayette Beauty Academy-Ritz Beauty Academy,GA,5,3,2,,,19,,,,,,,
Fayette Beauty Academy-Ritz Beauty Academy,GA,5,3,2,,,7,,,,,,,
Fayette County Career & Technical Institute Practical Nursing Program,PA,2,3,2,,,118,,,,,,,
Fayette Institute of Technology,WV,5,3,2,,,35,,,,,,,
Fayetteville Beauty College,NC,5,3,2,,,68,,,,,,,
Fayetteville College of Cosmetology Arts and Sciences,TN,5,3,2,,,62,,,,,,,
Fayetteville State University,NC,5,1,1,25021,13413,5899,7,193,948,55,28,50,58
Fayetteville Technical Community College,NC,5,2,1,,,12103,,,,,,,
Feather River Community College District,CA,8,2,1,21258,15438,1715,,,,,,,
Federico Beauty Institute,CA,8,3,2,,,283,,,,,,,
Felician College,NJ,2,1,1,46505,46505,1953,0,84,441,88,11,86,89
Ferris State University,MI,3,1,1,28055,22265,14600,186,165,2401,76,25,74,77
Ferrum College,VA,5,1,1,42235,42235,1451,0,0,216,74,23,74,75
Fielding Graduate University,CA,8,1,1,,,1201,175,136,0,,,,
FINE Mortuary College,MA,1,2,1,,,95,,,,,,,
Finger Lakes Community College,NY,2,2,1,,,6793,,,,,,,
Finger Lakes Health College of Nursing,NY,2,2,1,,,135,,,,,,,
Finger Lakes School of Massage,NY,2,3,2,,,61,,,,,,,
Finger Lakes School of Massage,MD,2,3,2,,,70,,,,,,,
Finger Lakes School of Massage,NY,2,3,2,,,51,,,,,,,
Finlandia University,MI,3,1,1,33436,33436,493,0,0,82,59,21,48,73
Firelands Regional Medical Center School of Nursing,OH,3,2,2,,,89,,,,,,,
First Class Cosmetology School,WI,3,2,2,,,78,,,,,,,
First Coast Barber Academy,FL,5,3,2,,,18,,,,,,,
First Coast Technical College,FL,5,3,2,,,542,,,,,,,
First Institute Inc,IL,3,3,2,,,286,,,,,,,
Fisher College,MA,1,1,1,47999,47999,1875,0,0,160,63,16,57,66
Fisk University,TN,5,1,1,36618,36618,772,0,6,80,91,14,89,92
Fitchburg State University,MA,1,1,1,27153,21073,6810,0,326,743,72,30,68,75
Five Branches University,CA,8,1,1,,,371,37,62,0,,,,
Five Towns College,NY,2,1,1,39170,39170,687,1,23,167,55,60,56,53
Flagler College-St Augustine,FL,5,1,1,29780,29780,2782,0,0,677,50,26,53,47
Flagler College-Tallahassee,FL,5,1,1,,,462,0,0,172,,,,
Flagler Technical Institute,FL,5,3,2,,,269,,,,,,,
Flair Beauty College,CA,8,3,2,,,46,,,,,,,
Flathead Valley Community College,MT,7,2,1,19192,13424,2161,,,,,,,
Flint Hills Technical College,KS,4,2,1,,,836,,,,,,,
Flint Institute of Barbering Inc,MI,3,2,2,,,56,,,,75,63,77,67
Florence-Darlington Technical College,SC,5,2,1,,,6215,,,,,,,
Florida Academy,FL,5,3,2,,,200,,,,,,,
Florida Academy of Health & Beauty,FL,5,3,2,,,31,,,,,,,
Florida Agricultural and Mechanical University,FL,5,1,1,31525,19585,10241,335,277,1547,45,51,39,49
Florida Atlantic University,FL,5,1,1,34316,21871,30297,128,1353,4902,48,29,46,49
Florida Barber Academy,FL,5,3,2,,,241,,,,,,,
Florida Career College-Miami,FL,5,1,1,,,6227,0,0,34,,,,
Florida Coastal School of Law,FL,5,1,1,,,1115,486,0,0,,,,
Florida College,FL,5,1,1,27730,27730,555,0,0,50,59,87,62,56
Florida College of Integrative Medicine,FL,5,1,1,,,116,0,49,0,,,,
Florida College of Natural Health-Bradenton,FL,5,2,1,,,143,,,,,,,
Florida College of Natural Health-Maitland,FL,5,2,1,,,418,,,,,,,
Florida College of Natural Health-Miami,FL,5,2,1,,,202,,,,,,,
Florida College of Natural Health-Pompano Beach,FL,5,2,1,,,203,,,,,,,
Florida Education Institute,FL,5,2,1,,,316,,,,,,,
Florida Gateway College,FL,5,1,1,,,2912,0,0,8,,,,
Florida Gulf Coast University,FL,5,1,1,39186,20142,14473,34,334,1845,66,39,63,67
Florida Institute of Recording Sound and Technology,FL,5,3,2,,,170,,,,,,,
